"Story","Title","Result","Date","Stability","Duration (s)"
"Creacion de parametros para la autenticaci�n","Validar que se genere token para la autenticacion correctamente","SUCCESS","2022-01-19T04:00:11.605-05:00[America/Bogota]","0.0","6.54"
"Creacion de parametros para la autenticaci�n","Validar que se genere token para la correcta autenticacion","SUCCESS","2022-01-19T12:54:24.658-05:00[America/Bogota]","0.0","7.81"
