"Story","Title","Result","Date","Stability","Duration (s)"
"CRUD para la gestión de reservas","Validar se realice la busqueda del detalle por reserva","SUCCESS","2023-10-24T10:41:10.642-05:00[America/Lima]","0.0","9.36"
"CRUD para la gestión de reservas","Validar se realice la creación de una reserva","SUCCESS","2023-10-24T10:56:38.715-05:00[America/Lima]","0.0","6.24"
"CRUD para la gestión de reservas","Validar que se realice actualizaciones de datos parciales de una reserva","SUCCESS","2023-10-24T11:09:53.486-05:00[America/Lima]","0.0","6.13"
"CRUD para la gestión de reservas","Validar se realice la busqueda de las reservas","SUCCESS","2023-10-24T11:34:29.691-05:00[America/Lima]","0.0","8.56"
